Dataset / Task,task_name,Data file(s),Task class exists?,Imported in __init__.py?,Loads & runnable now?,Reason not enabled,Action to enable,Category,Task Format,Turn,Language,Scale (source-reported),Actual rows in repo,Year,Source,Paper,Update status
ClearHarm,clearharm,ClearHarm.parquet,Yes,No — never imported,Yes (179 rows; data fixed 2026-06-24),Task class exists but was never added to __init__.py; data was an empty parquet until the 2026-06-24 fix.,Add `from .ClearHarm import ClearHarm` to __init__.py — ready to run.,"Physical Safety (CBRN), Professional (Biology, Chemistry)",Generation,Single,English,179 (full dataset),179,2025,Hugging Face: https://huggingface.co/datasets/AlignmentResearch/ClearHarm,FAR AI: https://www.far.ai/research/clearharm-a-more-challenging-jailbreak-dataset,No public official successor/update found by 2026-06-24.
WMDP,wmdp,WMDP.jsonl,Yes,No — never imported,"Yes (3,668 MCQs; data fixed 2026-06-24)",Task class exists but never imported; data was the wrong unlearning corpus until the 2026-06-24 fix.,Add `from .WMDP import WMDP` to __init__.py — ready to run.,"Professional (Bio, Chem), Physical Safety, Cybersecurity",Multiple Choice,Single,English,"3,668","3,668 (bio 1,273 + chem 408 + cyber 1,987)",2024,GitHub: https://github.com/centerforaisafety/wmdp; Hugging Face: https://huggingface.co/datasets/cais/wmdp,arXiv: https://arxiv.org/abs/2403.03218,No public official successor/update found by 2026-06-24.
BBQ,bbq,BBQ.jsonl,Yes,No — commented out,"Yes (58,492 rows)","Comment says 'requires Git LFS (80MB data file)'. The file is present now, so the reason is stale.",Uncomment the import (confirm LFS file is pulled) — ready to run.,Discrimination/Bias,QA (MC/Gen),Single,English,"58,492","58,492",2022,GitHub: https://github.com/nyu-mll/BBQ,ACL Findings 2022: https://aclanthology.org/2022.findings-acl.165/,No public official successor/update found by 2026-06-24.
GA Long-Context Jailbreak,ga_long_context_jailbreak,GA Long-Context Jailbreak.csv,Yes,No — never imported,"No — data has no `messages` column (cols: text, injection_text, injection_index, ...)",Not imported AND the task has no messages builder for this CSV schema.,"Add a read_task_data override to build `messages` (from `text`/`injection_text`), then import.","Trust/Info (Jailbreak/Prompt Injection, long context)",Dialogue/Generation,Multi (Long),English,"1,500","1,500",2025,Hugging Face: https://huggingface.co/datasets/GeneralAnalysis/GA_Long_Context_Jailbreak_Benchmark,N/A - public dataset card only,No public paper or official successor found by 2026-06-24.
RealToxicityPrompts,realtoxicityprompts,RealToxicityPrompts.jsonl,Yes,No — never imported,"No — data has no `messages` column (cols: prompt, continuation, challenging, ...)",Not imported AND no messages builder; `prompt` field is a nested object.,"Add a read_task_data override to build `messages` from `prompt.text`, then import.",Discrimination/Hate & Toxicity,Generation,Single,English,100K,"99,441",2020,GitHub: https://github.com/allenai/real-toxicity-prompts; Hugging Face: https://huggingface.co/datasets/allenai/real-toxicity-prompts,arXiv: https://arxiv.org/abs/2009.11462,No public official successor/update found by 2026-06-24.
AnthropicHarmlessBase,anthropic_harmlessbase,AnthropicHarmlessBase.jsonl,Yes,No — commented out,Yes (loads),"'The dataset is suitable for DPO training, but not for chat-based evaluation' (preference pairs).",Keep disabled unless adapting it into a chat-style eval.,"Physical Safety, Discrimination/Hate, Sexual",Dialogue/Annotation,Multi,English,"44,849","2,312",2022,Hugging Face: https://huggingface.co/datasets/Anthropic/hh-rlhf/tree/main/harmless-base,arXiv: https://arxiv.org/abs/2204.05862,No official successor found; original GitHub repo is deprecated in favor of the HF-hosted data.
ControversialInstructions,controversial_instructions,ControversialInstructions.jsonl,Yes,No — commented out,"Loads, but __init__ raises without OPENAI_API_KEY",Uses the OpenAI Moderation API as its evaluator (not the LibrAI judge); the task __init__ hard-fails if no OPENAI_API_KEY is set. THIS is 'the problem'.,"Set OPENAI_API_KEY in config/api_config.json or env, then uncomment the import.","Trust/Info (Controversial topics), Discrimination/Hate",Generation,Single,English,40,40,2023,GitHub: https://github.com/vinid/safety-tuned-llamas/tree/main/data/evaluation; Hugging Face: https://huggingface.co/datasets/walledai/SafetyDatasets,arXiv: https://arxiv.org/abs/2309.07875,No public official successor/update found by 2026-06-24.
QHarm,qharm,QHarm.jsonl,Yes,No — commented out,Yes (loads; ~100 rows),"'evaluation need double check, many questions are not risky' — dataset quality concern.","Curate/verify the prompts, then uncomment.",Physical Safety (general harmful),Generation,Single,English,100 prompts,100,2023,GitHub: https://github.com/vinid/safety-tuned-llamas/tree/main/data/evaluation,arXiv: https://arxiv.org/abs/2309.07875,No public official successor/update found by 2026-06-24.
SafetyPrompt (Chinese),safety_prompt,SafetyPrompt.jsonl,Yes,No — commented out,No — pd.read_json fails,"Two issues: (a) marked 'Chinese' (excluded from the English eval set); (b) file is Python-dict repr (single quotes), not valid JSON, so the loader errors.",Re-serialize SafetyPrompt.jsonl to valid JSONL (double quotes); enable if a Chinese eval is wanted.,"Physical Safety, Discrimination/Hate, Sexual",Generation,Single,Chinese,"~100,000 Chinese prompt-response pairs","30,000",2023,GitHub: https://github.com/thu-coai/Safety-Prompts; Hugging Face: https://huggingface.co/datasets/thu-coai/Safety-Prompts,arXiv: https://arxiv.org/abs/2304.10436,No official dataset successor found; README says sensitive-topic scenario data is not planned for release.
StrongREJECT,strong_reject,StrongREJECT.jsonl,Yes,No — commented out,Yes (custom run_pipeline),'sourced from other datasets' (prompt overlap with existing tasks); also ships its own run_pipeline + regex evaluator.,Enable if the overlap is acceptable.,"Physical Safety (Criminal), Professional (Bio, Chem)",Generation,Single,English,313 prompts (full); 60-prompt subset also released,313,2024,GitHub: https://github.com/alexandrasouly/strongreject/tree/main/strongreject_dataset,arXiv: https://arxiv.org/abs/2402.10260,No public official successor/update found by 2026-06-24.
MTBench,mt_bench,MTBench.jsonl,Yes,No — commented out,Loads single-turn only,'multi-turn not implemented' — BaseGeneralTask only handles single-turn; MT-Bench needs 2-turn dialogue support.,"Implement multi-turn handling, then enable.",General capability / instruction-following benchmark,Multi-turn QA / LLM-as-judge,Multi,English,80 multi-turn questions,80,2023,GitHub: https://github.com/lm-sys/FastChat/tree/main/fastchat/llm_judge,arXiv: https://arxiv.org/abs/2306.05685,No official in-repo replacement found; many MT-Bench derivatives exist elsewhere.
SycophancyEvalFeedback,sycophancy_eval_feedback,SycophancyEvalFeedback.jsonl,Yes,No — commented out,Yes (loads),"'scores are all the same, need debug' — scoring/postprocess bug.","Debug the postprocess scoring, then uncomment.","Trust/Info (Deception, Factuality)",Generation/Judgment,Single,English,"20,956 total across 4 files","8,500 (feedback file)",2024,GitHub: https://github.com/meg-tong/sycophancy-eval; Hugging Face: https://huggingface.co/datasets/meg-tong/sycophancy-eval,arXiv: https://arxiv.org/abs/2310.13548,No public official successor/update found by 2026-06-24.
AttackCiphering (LibrAI adv),attack_ciphering,librai_adv_ciphering.jsonl,Yes,No — commented out,Yes (loads),"'Drop due to the difficulty of evaluation, sometimes model response is ciphered and hard to judge'.","Add a decode step before judging, then uncomment.",In-house jailbreak/attack templates (repo-only),Generation,Single,Multilingual,11 attack-template files,"~4,117",N/A,N/A - repository-local librai_adv_* files,N/A - no public paper for these exact files,N/A - repository-local templates; no public update stream.
PersonalInfoLeak_context,personalinfoleak_context,PersonalInfoLeak-context.jsonl,Yes,No — commented out,Loads,"'task in completion format, not chat format' (only the few-shot variant is enabled).","Reformat to chat, or keep disabled.",Legal & Compliance (Privacy),Prediction/Generation,Single,English,"3,238 (parent dataset)","3,333 (context file)",2022,GitHub: https://github.com/jeffhj/LM_PersonalInfoLeak,EMNLP Findings 2022: https://aclanthology.org/2022.findings-emnlp.148/,No public official successor/update found by 2026-06-24.
PersonalInfoLeak_zero_shot,personalinfoleak_zero_shot,PersonalInfoLeak-zero_shot.jsonl,Yes,No — commented out,Loads,"'task in completion format, not chat format' (only the few-shot variant is enabled).","Reformat to chat, or keep disabled.",Legal & Compliance (Privacy),Prediction/Generation,Single,English,"3,238 (parent dataset)","13,176 (zero_shot file)",2022,GitHub: https://github.com/jeffhj/LM_PersonalInfoLeak,EMNLP Findings 2022: https://aclanthology.org/2022.findings-emnlp.148/,No public official successor/update found by 2026-06-24.
TruthfulQA_mc2,truthfulqa_mc2,truthfulqa_mc2.jsonl,Yes,No — commented out,Yes (loads),'evaluation need revise'.,"Revise the MC2 scoring, then uncomment.",Trust/Info (Misinformation & Factuality),QA (MC/Gen),Single,English,817,817,2021,GitHub: https://github.com/sylinrl/TruthfulQA,ACL 2022: https://aclanthology.org/2022.acl-long.229/,Yes - improved binary MC version released Jan 2025; original MC1/MC2 remain valid.
TruthfulQA_gen,truthfulqa_gen,truthfulqa_gen.jsonl,Yes,No — commented out,Yes (loads),"'similar to mc1 task, while the evaluation seems not always correct and meaningful'.","Revise the generation eval, then uncomment.",Trust/Info (Misinformation & Factuality),QA (MC/Gen),Single,English,817,817,2021,GitHub: https://github.com/sylinrl/TruthfulQA,ACL 2022: https://aclanthology.org/2022.acl-long.229/,Yes - improved binary MC version released Jan 2025; original MC1/MC2 remain valid.
