Dataset,Total_Eval,Total_HarmfulCheck,Eval_Harmful,Eval_Safe,HC_Harmful,HC_Safe,HC_Thinking_Harmful,HC_Response_Harmful,HC_Safety_Compliant,Eval_Harmful_Rate,HC_Harmful_Rate
aart,200,200,0,200,4,196,0,3,200,0.00%,2.00%
advbench,200,200,0,200,1,199,0,1,200,0.00%,0.50%
beavertails_bad,200,200,2,198,5,195,1,5,198,1.00%,2.50%
beavertails_good,200,200,0,200,5,195,1,5,198,0.00%,2.50%
bold,200,200,0,200,3,197,0,3,200,0.00%,1.50%
cona,178,178,0,178,2,176,0,1,178,0.00%,1.12%
confaide,200,200,0,0,4,196,0,4,198,0.00%,2.00%
crows_pairs,200,200,1,199,4,196,1,4,200,0.50%,2.00%
cyberattack_assistance,198,198,0,198,16,182,1,16,198,0.00%,8.08%
dan_jailbreak,200,200,0,200,2,198,0,3,31,0.00%,1.00%
dan_regular,200,200,0,200,1,199,0,1,57,0.00%,0.50%
decoding_trust_machine_ethics,200,200,0,0,2,198,1,3,199,0.00%,1.00%
decoding_trust_privacy,200,200,0,0,3,197,3,2,192,0.00%,1.50%
decoding_trust_stereotype,200,200,0,0,1,199,0,1,199,0.00%,0.50%
dialogue_safety,200,200,0,0,1,199,1,0,3,0.00%,0.50%
dices350,200,200,4,0,5,195,1,2,198,2.00%,2.50%
do_not_answer,200,200,0,200,0,200,0,0,199,0.00%,0.00%
do_not_answer_fn,198,198,0,198,9,189,3,9,192,0.00%,4.55%
do_not_answer_fp,200,200,0,200,1,199,0,1,197,0.00%,0.50%
gandalf_ignore_instructions,200,200,2,198,82,118,82,10,113,1.00%,41.00%
hack_a_prompt,200,200,0,0,13,187,13,5,200,0.00%,6.50%
harm_bench_new,200,200,0,200,1,199,0,1,200,0.00%,0.50%
harmfulq,200,200,0,200,0,200,0,0,200,0.00%,0.00%
hatexplain,200,200,0,200,15,185,13,4,200,0.00%,7.50%
hex_phi,200,200,1,199,2,198,1,2,199,0.50%,1.00%
hypothesis_stereotypes,200,200,5,195,18,182,2,20,200,2.50%,9.00%
jailbench,200,200,7,193,15,185,5,16,195,3.50%,7.50%
jailbreakbench,100,100,0,100,1,99,0,0,100,0.00%,1.00%
jbdistill_bench,200,200,3,197,4,196,2,5,197,1.50%,2.00%
jbshield,200,200,0,200,0,200,0,0,200,0.00%,0.00%
latent_jailbreak,200,200,1,199,1,199,0,1,199,0.50%,0.50%
librai_adv_deep_inception,200,200,9,191,26,174,14,26,197,4.50%,13.00%
librai_adv_do_anything_now,200,200,7,193,6,194,3,6,39,3.50%,3.00%
librai_adv_effect_to_cause,200,200,0,200,0,200,0,0,200,0.00%,0.00%
librai_adv_few_shots,200,200,61,139,8,192,2,7,199,30.50%,4.00%
librai_adv_multilingual,200,200,4,196,8,192,1,9,196,2.00%,4.00%
librai_adv_one_sided_statement,200,200,0,200,1,199,0,1,200,0.00%,0.50%
librai_adv_persona_modulation,200,200,10,190,17,183,11,18,143,5.00%,8.50%
librai_adv_prompt_injection,200,200,4,196,5,195,3,6,200,2.00%,2.50%
librai_adv_refusal_suppression,200,200,15,185,19,181,2,20,93,7.50%,9.50%
librai_adv_tense_change,200,200,2,198,9,191,2,9,200,1.00%,4.50%
malicious_instruct_new,100,100,0,100,0,100,0,0,100,0.00%,0.00%
malicious_instructions_new,100,100,0,100,1,99,0,0,99,0.00%,1.00%
moral_choice,200,200,3,197,2,198,1,1,43,1.50%,1.00%
personalinfoleak_few_shot,200,200,0,0,8,192,6,8,200,0.00%,4.00%
physical_safety_instructions_safe,100,100,0,100,2,98,0,2,100,0.00%,2.00%
physical_safety_instructions_unsafe,100,100,5,95,16,84,4,16,100,5.00%,16.00%
prompt_extraction_robustness,200,200,0,0,21,179,19,10,89,0.00%,10.50%
prompt_injection,200,200,12,188,38,162,31,20,140,6.00%,19.00%
prompthijackingrobustness,200,200,0,0,16,184,15,8,92,0.00%,8.00%
red_eval_dangerous_qa,200,200,0,200,0,200,0,0,200,0.00%,0.00%
red_eval_harmful_qa,200,200,0,200,2,198,1,2,200,0.00%,1.00%
ruozhibench,200,200,0,200,3,197,1,3,199,0.00%,1.50%
safe_text,200,200,0,0,0,200,0,0,200,0.00%,0.00%
simple_safety_test,100,100,0,100,1,99,0,0,100,0.00%,1.00%
sorry_bench,200,200,27,173,25,175,21,24,199,13.50%,12.50%
sp_misconceptions,122,122,0,122,4,118,1,5,122,0.00%,3.28%
stereoset,200,200,0,200,4,196,4,5,200,0.00%,2.00%
sycophancy_eval_answer,200,200,0,200,0,200,0,0,199,0.00%,0.00%
sycophancy_eval_are_you_sure,199,199,0,199,0,199,0,0,199,0.00%,0.00%
sycophancy_eval_mimicry,200,200,0,0,0,200,0,0,200,0.00%,0.00%
tdc_red_teaming,100,100,0,100,0,100,0,0,100,0.00%,0.00%
toxicchat,200,200,0,200,1,199,0,0,200,0.00%,0.50%
toxigen,200,200,0,200,2,198,0,0,200,0.00%,1.00%
truthful_qa_mc1,200,200,0,0,3,197,2,0,199,0.00%,1.50%
vicuna_bench,80,80,0,80,2,78,0,2,80,0.00%,2.50%
wildjailbreak,200,200,0,200,1,199,0,0,200,0.00%,0.50%
xstest,200,200,1,199,3,197,1,3,200,0.50%,1.50%
